Name,Year,Genre,Perspective,Console,Moby Score,Critics,Publishers,Developers,Multiplayer,Offline Players,Gameplay
Takedown: Red Sabre,2013,Action,1st-person,Windows,4.7,32% (6),505 Games S.R.L.,505 Games S.R.L.,0.0,1.0,Shooter
Legends of Pegasus,2012,Strategy,3rd-person (Other),Windows,4.7,39% (12),Novacore Studios,Novacore Studios,0.0,1.0,"Real-time, Turn-based"
Rotlicht Tycoon,2003,Strategy,Diagonal-down,Windows,4.7,30% (6),Spielwert,Spielwert,0.0,1.0,Isometric
Protector,1986,Action,Side view,Amiga,4.7,31% (6),Eidersoft,Eidersoft,0.0,1.0,2D scrolling
Operation: Matriarchy,2005,Action,1st-person,Windows,4.7,31% (7),Madia Entertainment,Madia Entertainment,0.0,1.0,Shooter
Sneakers,2002,Action,3rd-person (Other),Xbox,4.7,28% (6),Media.Vision Entertainment Inc.,Media.Vision Entertainment Inc.,0.0,1.0,Puzzle elements
NFL's Greatest: San Francisco vs. Dallas 1978-1993,1993,Simulation,Full Motion Video (FMV),SEGA CD,4.7,32% (7),Park Place Productions,Park Place Productions,0.0,1.0,Managerial / business simulation
Beer Tycoon,2006,Simulation,3rd-person (Other),Windows,4.7,22% (5),Virtual Playground Ltd.,Virtual Playground Ltd.,0.0,1.0,Managerial / business simulation
Ready 2 Rumble Revolution,2009,Sports,3rd-person (Other),Wii,4.7,34% (10),AKI Corporation,AKI Corporation,0.0,1.0,Boxing
ATV: Quad Power Racing,2000,Racing / Driving,1st-person,PlayStation,4.7,38% (9),Climax Group Limited,Climax Group Limited,0.0,1.0,Arcade
Turn It Around,2000,Compilation,,Arcade,4.7,40% (18),"Taito Corporation, D3Publisher Inc., Majesco Entertainment Company",Taito Corporation,0.0,1.0,
Ghostbusters: Sanctum of Slime,2011,,,,,,,,0.0,1.0,
Rhythm 'n Notes: Improve Your Music Skills,2007,Educational,Music,Nintendo DS,4.7,28% (6),"IE Institute Co., Ltd.","IE Institute Co., Ltd.",0.0,1.0,
Brain Boost: Beta Wave,2005,Simulation,Mental training,Nintendo DS,4.7,38% (12),"HuneX Co., Ltd.","HuneX Co., Ltd.",0.0,1.0,
Looney Tunes: Acme Arsenal,2007,Action,3rd-person (Other),PlayStation 2,4.7,37% (21),Warner Bros. Interactive Entertainment Inc.,Warner Bros. Interactive Entertainment Inc.,0.0,1.0,"Arcade, Platform"
Underworld Ascendant,2018,Role-playing (RPG),1st-person,Windows,4.7,38% (10),"505 Games S.p.A., 505 Games (U.S.), Inc.",505 Games S.p.A.,0.0,1.0,"Action RPG, Sandbox / open world, Stealth"
Wayne's World,1993,Action,Side view,Game Boy,4.7,22% (4),THQ Inc.,THQ Inc.,0.0,1.0,2D scrolling
Lula 3D,2005,Adventure,Behind view,Windows,4.7,41% (20),CDV Software Entertainment AG,CDV Software Entertainment AG,0.0,1.0,Puzzle elements
Jetsons: The Computer Game,1992,Action,Side view,DOS,4.7,47% (7),Hi-Tec Software Ltd.,Hi-Tec Software Ltd.,0.0,1.0,"2D scrolling, Fixed / flip-screen"
Miami Vice,2004,Action,3rd-person (Other),Windows,4.7,30% (16),"Davilex Games B.V., 1C Company",Davilex Games B.V.,0.0,1.0,Licensed
Battleship,1993,Strategy,Top-down,NES,4.7,28% (8),"Mindscape, Inc.","Mindscape, Inc.",0.0,1.0,Turn-based
Operation Body Count,1994,Action,1st-person,DOS,4.7,36% (13),"Capstone Software, U.S. Gold Ltd., Ziggurat Interactive, Inc.",Capstone Software,0.0,1.0,Shooter
Homie Rollerz,2008,Racing / Driving,Behind view,Nintendo DS,4.7,30% (8),"Webfoot Technologies, Inc.","Webfoot Technologies, Inc.",0.0,1.0,Arcade
Donkey Kong Barrel Blast,2007,Racing / Driving,3rd-person (Other),Wii,4.7,44% (47),"Paon Corporation, Ltd.","Paon Corporation, Ltd.",0.0,1.0,Arcade
Link: The Faces of Evil,1993,Action,Side view,CD-i,4.8,40% (8),"Animation Magic, Inc.","Animation Magic, Inc.",0.0,1.0,2D scrolling
Geisha,1990,Adventure,1st-person,DOS,4.8,38% (10),"Tomahawk, Coktel Vision",Tomahawk,0.0,1.0,Puzzle elements
Isle of the Dead,1993,Action,1st-person,DOS,4.8,26% (2),"Rainmaker Software, Inc.","Rainmaker Software, Inc.",0.0,1.0,"Puzzle elements, Shooter, Survival horror"
Lucha Fury,2011,Action,3rd-person (Other),Xbox 360,4.8,35% (9),Punchers Impact,Punchers Impact,0.0,1.0,Beat 'em up / brawler
Torrente 3: The Protector,2005,Action,1st-person,Windows,4.8,34% (9),Virgin PLAY S.A.,Virgin PLAY S.A.,0.0,1.0,Shooter
Jaws,1987,Action,Side view,NES,4.8,41% (14),Escape,Escape,0.0,1.0,2D scrolling
MotoGP,2003,Racing / Driving,1st-person,N-Gage,4.8,33% (8),"Cybiko, Inc.","Cybiko, Inc.",0.0,1.0,"Motorcycle, Track racing, Vehicle simulator"
007: Legends,2012,Action,1st-person,Xbox 360,4.8,41% (31),"Activision Publishing, Inc.","Activision Publishing, Inc.",0.0,1.0,"Shooter, Stealth"
The Ring: Terror's Realm,2000,Action,3rd-person (Other),Dreamcast,4.8,39% (8),Tycoon Corporation,Tycoon Corporation,0.0,1.0,Cinematic camera
Descent to Undermountain,1997,Action,1st-person,Windows,4.8,40% (13),"Interplay Productions, Inc.","Interplay Productions, Inc.",0.0,1.0,Fantasy
Patriots: A Nation Under Fire,2007,Action,1st-person,Windows,4.8,28% (7),"4D Rulers Software, Inc.","4D Rulers Software, Inc.",0.0,1.0,Shooter
Boss Rally,1999,Racing / Driving,1st-person,Windows,4.8,38% (14),Boss Games,Boss Games,0.0,1.0,Direct control
Dangerous Streets,1994,Action,Side view,DOS,4.8,43% (8),Flair Software Ltd.,Flair Software Ltd.,0.0,1.0,2D scrolling
Slam City with Scottie Pippen,1994,Action,1st-person,SEGA CD,4.8,43% (21),"Digital Pictures, Inc., Tec Toy Indústria de Brinquedos S.A.","Digital Pictures, Inc.",0.0,1.0,Video backdrop
Gothic 3: Forsaken Gods,2008,Action,1st-person,Windows,4.8,42% (17),Trine Games,Trine Games,0.0,1.0,Fantasy
Pulleralarm,2000,Action,Isometric,Windows,4.8,34% (5),Westka Interactive GmbH,Westka Interactive GmbH,0.0,1.0,Arcade
Wiffle Ball,2007,Sports,3rd-person (Other),Nintendo DS,4.8,27% (5),"Skyworks Technologies, Inc.","Skyworks Technologies, Inc.",0.0,1.0,Baseball
Terminator 2: Judgment Day - Chess Wars,1993,Strategy,Diagonal-down,DOS,4.8,30% (7),"IntraCorp, Inc.","IntraCorp, Inc.",0.0,1.0,"Board game, Chess"
Toy Shop,2008,Simulation,3rd-person (Other),Nintendo DS,4.8,33% (8),"GameInvest, S.A., Seed Studios, Lda.","GameInvest, S.A.",0.0,1.0,Managerial / business simulation
Hangman,1978,Puzzle,Side view,Atari 2600,4.8,48% (5),"Atari, Inc.","Atari, Inc.",0.0,1.0,Fixed / flip-screen
Kiss Pinball,2001,Action,Top-down,Windows,4.8,44% (21),"Gathering of Developers, Inc., Take-Two Interactive Software, Inc.","Gathering of Developers, Inc.",0.0,1.0,"Arcade, Pinball"
Kaiser: Das Erbe,2003,Strategy,Top-down,Windows,4.8,28% (6),GamesArk,GamesArk,0.0,1.0,Turn-based
Dino Dini's Kick Off Revival,2017,Sports,Diagonal-down,PS Vita,4.8,33% (6),"Digital Lounge, The, Plug In Digital SAS","Digital Lounge, The",0.0,1.0,2D scrolling
Remothered: Broken Porcelain,2020,Adventure,3rd-person (Other),Xbox One,4.8,42% (19),"Modus Games, LLC, 3goo K.K.","Modus Games, LLC",0.0,1.0,"Quick Time Events (QTEs), Stealth, Survival horror"
Defcom,1986,Action,Behind view,Commodore 64,4.8,43% (6),"Quicksilva Ltd., Bug-Byte Software Ltd.",Quicksilva Ltd.,0.0,1.0,"Arcade, Shooter"
Superman Returns,2006,Action,3rd-person (Other),Nintendo DS,4.8,34% (11),Santa Cruz Games,Santa Cruz Games,0.0,1.0,Licensed
American McGee presents Bad Day LA,2006,Action,Behind view,Windows,4.8,44% (32),"Enlight Software Ltd., The Mauretania Import Export Company (TMIEC), Inc.",Enlight Software Ltd.,0.0,1.0,Shooter
Avalon Hill's Diplomacy,1999,Strategy,Board game,Windows,4.8,52% (12),Meyer Glass Interactive Ltd.,Meyer Glass Interactive Ltd.,0.0,1.0,Licensed
Terrorist Takedown: Payback,2005,Action,1st-person,Windows,4.8,35% (7),CITY interactive Sp. z o.o.,CITY interactive Sp. z o.o.,0.0,1.0,"Rail shooter, Shooter"
Naughty Bear,2010,Action,3rd-person (Other),Xbox 360,4.8,45% (58),505 Games S.R.L.,505 Games S.R.L.,0.0,1.0,
Justice League Heroes,2006,Action,3rd-person (Other),Nintendo DS,4.8,38% (12),Sensory Sweep Studios,Sensory Sweep Studios,0.0,1.0,Sci-fi / futuristic
F16 Fighting Falcon,1984,Action,1st-person,MSX,4.8,29% (7),"ASCII Corporation, SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",ASCII Corporation,0.0,1.0,"Flight / aviation, Vehicular combat"
The Games '92 - España,1992,Sports,Managerial / business simulation,DOS,4.8,40% (8),"Ocean Software Ltd., Mirage Software",Ocean Software Ltd.,0.0,1.0,Olympiad / mixed sports
Deca Sports: Freedom,2010,Sports,3rd-person (Other),Xbox 360,4.8,22% (5),"Hudson Soft Company, Ltd.","Hudson Soft Company, Ltd.",0.0,1.0,"Boxing, Snowboarding / skiing, Volleyball"
Dreams,1998,Action,3rd-person (Other),PlayStation,4.8,24% (5),Cryo Interactive Entertainment,Cryo Interactive Entertainment,0.0,1.0,
Rampage Through Time,2000,Action,Side view,PlayStation,4.8,34% (7),Avalanche Software LLC,Avalanche Software LLC,0.0,1.0,"Arcade, Fighting"
Beauty Factory,2007,Simulation,Isometric,Windows,4.8,27% (5),City Interactive S.A.,City Interactive S.A.,0.0,1.0,Managerial / business simulation
