Name,Year,Genre,Perspective,Console,Moby Score,Critics,Publishers,Developers,Multiplayer,Offline Players,Gameplay
Persona 5: Royal,2022,Compilation,Behind view,Windows,8.6,97% (8),SEGA Corporation,SEGA Corporation,0.0,1.0,Anime / Manga
Super Mario Galaxy 2,2010,Action,3rd-person (Other),Wii,9.1,96% (55),"Nintendo of America Inc., Nintendo Co., Ltd., Nintendo of Europe GmbH",Nintendo of America Inc.,0.0,1.0,"Platform, Puzzle elements"
Super Mario Galaxy,2007,Action,Behind view,Wii,9.2,96% (146),"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH","Nintendo Co., Ltd.",0.0,1.0,"Platform, Puzzle elements"
The Legend of Zelda: Ocarina of Time,1998,Action,1st-person,Nintendo 64,8.6,96% (74),"Nintendo Co., Ltd., Nintendo of Europe GmbH, Nintendo of America Inc., iQue, Ltd.","Nintendo Co., Ltd.",0.0,1.0,"Metroidvania, Puzzle elements"
Super Mario Odyssey,2017,Action,Behind view,Nintendo Switch,9.1,96% (38),Nintendo EPD,Nintendo EPD,0.0,1.0,Platform
The House in Fata Morgana: Dreams of the Revenants...,2019,Adventure,1st-person,PS Vita,8.6,96% (8),"Limited Run Games, Mighty Rabbit Studios, Inc., HuneX Co., Ltd.",Limited Run Games,0.0,1.0,Anime / Manga
The Legend of Zelda: Breath of the Wild,2017,Action,Behind view,Wii U,9.2,96% (81),"Nintendo of Europe GmbH, Nintendo of America Inc., Nintendo Co., Ltd., Nintendo of Korea Co., Ltd.",Nintendo of Europe GmbH,0.0,1.0,"Puzzle elements, RPG elements, Sandbox / open world"
The Legend of Zelda: Tears of the Kingdom,2023,Action,Behind view,Nintendo Switch,9.1,96% (23),Nintendo EPD,Nintendo EPD,0.0,1.0,"Puzzle elements, RPG elements, Sandbox / open world"
Resident Evil 4,2005,Action,Behind view,GameCube,9.0,96% (112),Capcom Production Studio 4,Capcom Production Studio 4,0.0,1.0,"Puzzle elements, Quick Time Events (QTEs), Shooter, Survival horror"
Super Mario Bros. 3,1988,Action,Side view,NES,8.7,95% (39),"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH","Nintendo Co., Ltd.",0.0,1.0,2D scrolling
Metroid Prime,2002,Action,1st-person,GameCube,8.8,95% (92),"Nintendo of America Inc., Nintendo Co., Ltd., Nintendo of Europe GmbH",Nintendo of America Inc.,0.0,1.0,"Metroidvania, Shooter"
Persona 5: Royal,2019,Role-playing (RPG),Behind view,PlayStation 4,8.8,95% (12),"Atlus Co., Ltd.","Atlus Co., Ltd.",0.0,1.0,Anime / Manga
The Last of Us: Remastered,2014,Action,Behind view,PlayStation 4,9.1,95% (34),"Naughty Dog, Inc.","Naughty Dog, Inc.",0.0,1.0,"Quick Time Events (QTEs), Shooter, Stealth, Survival horror"
Uncharted 2: Among Thieves,2009,Action,Behind view,PlayStation 3,9.1,95% (82),"Sony Computer Entertainment America Inc., Sony Computer Entertainment Europe Ltd.",Sony Computer Entertainment America Inc.,0.0,1.0,"Puzzle elements, Quick Time Events (QTEs), Shooter"
Tekken 3,1997,Action,Side view,Arcade,8.4,95% (28),"Namco Limited, Namco Hometek Inc., Sony Computer Entertainment Europe Ltd.",Namco Limited,0.0,1.0,2D scrolling
Metroid Prime: Remastered,2023,Action,1st-person,Nintendo Switch,9.2,95% (40),Retro Studios Inc.,Retro Studios Inc.,0.0,1.0,Metroidvania
Forza Horizon 5,2021,Racing / Driving,1st-person,Windows,9.0,95% (15),"Xbox Game Studios, Microsoft Corporation",Xbox Game Studios,0.0,1.0,Direct control
Super Mario World 2: Yoshi's Island,1995,Action,Side view,SNES,8.6,95% (30),"Nintendo Co., Ltd., Playtronic Industrial Ltda., Nintendo of America Inc.","Nintendo Co., Ltd.",0.0,1.0,2D scrolling
Gran Turismo,1997,Racing / Driving,1st-person,PlayStation,8.5,95% (27),Polyphony Digital Inc.,Polyphony Digital Inc.,0.0,1.0,Direct control
The Legend of Zelda: Ocarina of Time 3D,2011,Action,Behind view,Nintendo 3DS,9.1,95% (61),"Grezzo Co., Ltd., Nintendo EAD","Grezzo Co., Ltd.",0.0,1.0,"Metroidvania, Puzzle elements"
Super Mario All-Stars,1993,Action,Side view,SNES,8.7,94% (20),"Nintendo of Europe GmbH, Nintendo Co., Ltd., Nintendo of America Inc.",Nintendo of Europe GmbH,0.0,1.0,2D scrolling
International Superstar Soccer 64,1997,Sports,Football (European) / Soccer,Nintendo 64,8.4,94% (15),"Major A, Konami OSA Ltd.",Major A,0.0,1.0,
BioShock,2007,Action,1st-person,Windows,8.7,94% (193),"2K Games, Inc., 1C Company, Spike Co., Ltd.","2K Games, Inc.",0.0,1.0,"RPG elements, Shooter"
Grand Theft Auto IV,2008,Action,Behind view,PlayStation 3,8.6,94% (198),"Take-Two Interactive Software Europe Ltd., Rockstar Games, Inc., Capcom Co., Ltd.",Take-Two Interactive Software Europe Ltd.,0.0,1.0,"Sandbox / open world, Shooter"
Half-Life,1998,Action,1st-person,Windows,8.7,94% (59),"Sierra On-Line, Inc., Valve Corporation","Sierra On-Line, Inc.",0.0,1.0,Shooter
Elden Ring,2022,Role-playing (RPG),Behind view,Windows,9.1,94% (46),"FromSoftware, Inc., BANDAI NAMCO Entertainment Inc., BANDAI NAMCO Entertainment America Inc., BANDAI NAMCO Entertainment Europe S.A.S.","FromSoftware, Inc.",0.0,1.0,"Action RPG, Hack and slash"
Addicted to Fun: Rainbow Collection,1991,Compilation,,Amiga,8.4,94% (5),Ocean Software Ltd.,Ocean Software Ltd.,0.0,1.0,
Microsoft Flight Simulator,2020,Simulation,1st-person,Windows,9.0,94% (27),Microsoft Corporation,Microsoft Corporation,0.0,1.0,Direct control
Super Mario 64,1996,Action,3rd-person (Other),Nintendo 64,8.5,94% (51),"Nintendo of Europe GmbH, Nintendo Co., Ltd., Nintendo of America Inc., iQue, Ltd.",Nintendo of Europe GmbH,0.0,1.0,Platform
Metal Gear Solid,2000,Action,Top-down,Game Boy Color,8.5,94% (24),"Konami Computer Entertainment Japan, Inc., Tose Co., Ltd.","Konami Computer Entertainment Japan, Inc.",0.0,1.0,Stealth
Grand Theft Auto: Vice City,2002,Action,Behind view,PlayStation 2,8.4,94% (113),"Rockstar Games, Inc., Capcom Co., Ltd., ak tronic Software & Services GmbH","Rockstar Games, Inc.",0.0,1.0,"Sandbox / open world, Shooter"
Gears of War,2006,Action,Behind view,Xbox 360,8.8,94% (137),Microsoft Corporation,Microsoft Corporation,0.0,1.0,Shooter
Hades,2018,Role-playing (RPG),Diagonal-down,Windows,9.0,94% (31),"Supergiant Games, Inc.","Supergiant Games, Inc.",0.0,1.0,2D scrolling
Persona 5,2016,Role-playing (RPG),Behind view,PlayStation 3,9.1,94% (83),"SEGA Games Co., Ltd., Atlus U.S.A., Inc., Koch Media GmbH (Austria)","SEGA Games Co., Ltd.",0.0,1.0,Anime / Manga
The Legend of Zelda: Twilight Princess,2006,Action,Behind view,Wii,8.9,94% (172),"Nintendo of America Inc., Nintendo of Europe GmbH, Nintendo Co., Ltd., Nintendo Australia Pty., Ltd.",Nintendo of America Inc.,0.0,1.0,"Metroidvania, Puzzle elements"
Metal Gear Solid 2: Sons of Liberty,2001,Action,1st-person,PlayStation 2,8.6,94% (68),"Konami Computer Entertainment Japan, Inc.","Konami Computer Entertainment Japan, Inc.",0.0,1.0,"Shooter, Stealth"
Metal Gear Solid,1998,Action,1st-person,PlayStation,8.3,94% (30),"Konami Co., Ltd., Konami of America, Inc., Konami of Europe GmbH, Sony Computer Entertainment America Inc.","Konami Co., Ltd.",0.0,1.0,2D scrolling
Red Dead Redemption II,2018,Action,1st-person,PlayStation 4,8.9,94% (45),"Rockstar Games, Inc.","Rockstar Games, Inc.",0.0,1.0,"Gambling elements, Sandbox / open world"
Rockstar Games Double Pack: Grand Theft Auto,2003,Compilation,,PlayStation 2,8.5,94% (44),"Rockstar Games, Inc., Capcom Co., Ltd.","Rockstar Games, Inc.",0.0,1.0,
Ninja Gaiden Black,2005,Action,Behind view,Xbox,8.9,94% (38),"Tecmo, Inc., Tecmo, Ltd., Microsoft Game Studios","Tecmo, Inc.",0.0,1.0,"Hack and slash, Puzzle elements"
God of War: Ragnarök,2022,Action,Behind view,PlayStation 4,9.2,94% (148),Sony Interactive Entertainment America LLC,Sony Interactive Entertainment America LLC,0.0,1.0,"Hack and slash, Puzzle elements, RPG elements"
Half-Life: Alyx,2020,Action,1st-person,Windows,8.9,94% (18),Valve Corporation,Valve Corporation,0.0,1.0,"Puzzle elements, Shooter"
GoldenEye 007,1997,Action,1st-person,Nintendo 64,8.4,94% (45),"Nintendo of Europe GmbH, Nintendo Co., Ltd., Nintendo of America Inc., Rare Limited",Nintendo of Europe GmbH,0.0,1.0,Shooter
The Legend of Zelda: A Link to the Past,1991,Action,Diagonal-down,SNES,8.4,94% (51),"Nintendo Co., Ltd., Nintendo of America Inc., Playtronic Industrial Ltda., Nintendo of Europe GmbH","Nintendo Co., Ltd.",0.0,1.0,Anime / Manga
Three Weeks in Paradise,1985,Action,Side view,ZX Spectrum,8.1,94% (6),Mikro-Gen Ltd,Mikro-Gen Ltd,0.0,1.0,Puzzle elements
NFL 2K1,2000,Sports,Diagonal-down,Dreamcast,8.8,94% (25),"Visual Concepts Entertainment, Inc.","Visual Concepts Entertainment, Inc.",0.0,1.0,"Direct control, Multiple units/characters control"
Grand Theft Auto: Chinatown Wars,2009,Action,Top-down,Nintendo DS,8.8,94% (119),"Rockstar Games, Inc., CyberFront Corporation","Rockstar Games, Inc.",0.0,1.0,2D scrolling
The Orange Box,2007,Compilation,,Windows,8.9,94% (95),"Valve Corporation, Buka Entertainment, CyberFront Corporation",Valve Corporation,0.0,1.0,
God of War,2018,Action,Behind view,PlayStation 4,9.0,94% (42),"Sony Computer Entertainment America Inc., Playstation PC LLC",Sony Computer Entertainment America Inc.,0.0,1.0,"Hack and slash, Puzzle elements, RPG elements"
Resident Evil 2,1998,Action,3rd-person (Other),PlayStation,8.4,94% (30),"Capcom Entertainment, Inc., Virgin Interactive Entertainment (Europe) Ltd., Capcom Co., Ltd.","Capcom Entertainment, Inc.",0.0,1.0,Cinematic camera
Ultima Underworld: The Stygian Abyss,1992,Role-playing (RPG),1st-person,DOS,8.1,93% (17),"ORIGIN Systems, Inc., Electronic Arts Victor, ZIOSoft, Inc., Electronic Arts, Inc.","ORIGIN Systems, Inc.",0.0,1.0,Action RPG
Portal 2,2011,Action,1st-person,Windows,9.0,93% (174),"Valve Corporation, Buka Entertainment, CyberFront Corporation, ak tronic Software & Services GmbH",Valve Corporation,0.0,1.0,Platform
Tecmo Super Bowl,1991,Sports,Side view,NES,8.2,93% (9),"Tecmo, Ltd.","Tecmo, Ltd.",0.0,1.0,Football (American)
Persona 4 Golden,2012,Role-playing (RPG),3rd-person (Other),PS Vita,9.0,93% (37),"Index Corporation, Index Digital Media, Inc., SEGA Corporation, SEGA of America, Inc.",Index Corporation,0.0,1.0,Anime / Manga
LittleBigPlanet: Game of the Year Edition,2009,Action,3rd-person (Other),PlayStation 3,8.0,93% (5),Media Molecule Ltd.,Media Molecule Ltd.,0.0,1.0,2D scrolling
Vagrant Story,2000,Role-playing (RPG),Diagonal-down,PlayStation,8.5,93% (36),"Square Europe, Ltd., Square Co., Ltd., Square Electronic Arts L.L.C.","Square Europe, Ltd.",0.0,1.0,2D scrolling
The Witcher 3: Wild Hunt,2015,Role-playing (RPG),Behind view,Windows,9.0,93% (69),CD Projekt S.A.,CD Projekt S.A.,0.0,1.0,Action RPG
Super Mario World,1990,Action,Side view,SNES,8.6,93% (39),"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH, Playtronic Industrial Ltda.","Nintendo Co., Ltd.",0.0,1.0,2D scrolling
Metal Gear Solid 4: Guns of the Patriots,2008,Action,1st-person,PlayStation 3,8.9,93% (104),"Konami Digital Entertainment GmbH, Konami Digital Entertainment, Inc., Konami Digital Entertainment Co., Ltd.",Konami Digital Entertainment GmbH,0.0,1.0,"Shooter, Stealth"
Zen Bound,2009,Puzzle,3rd-person (Other),iPhone,8.2,93% (6),"Chillingo Ltd, Secret Exit Ltd.",Chillingo Ltd,0.0,1.0,Meditative / Zen
Red Dead Redemption,2010,Action,Behind view,Xbox 360,8.9,93% (80),"Rockstar Games, Inc., ak tronic Software & Services GmbH","Rockstar Games, Inc.",0.0,1.0,"Sandbox / open world, Shooter"
Mass Effect 2,2011,Compilation,3rd-person (Other),PlayStation 3,9.1,93% (59),BioWare Edmonton,BioWare Edmonton,0.0,1.0,Cinematic camera
Baldur's Gate II: Shadows of Amn,2000,Role-playing (RPG),Isometric,Windows,8.6,93% (74),"Interplay Entertainment Corp., SEGA Corporation, MacPlay",Interplay Entertainment Corp.,0.0,1.0,Real-time
Half-Life 2,2004,Action,1st-person,Windows,8.6,93% (121),"Sierra Entertainment, Inc., Valve Corporation, Electronic Arts, Inc., Nvidia Tegra Partners","Sierra Entertainment, Inc.",0.0,1.0,"Puzzle elements, Shooter"
Company of Heroes,2006,Strategy,Diagonal-down,Windows,8.9,93% (78),"THQ Inc., Buka Entertainment, ak tronic Software & Services GmbH, Feral Interactive Ltd.",THQ Inc.,0.0,1.0,Free-roaming camera
The Legend of Zelda: Majora's Mask,2000,Action,1st-person,Nintendo 64,8.5,93% (54),"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo Australia Pty., Ltd., Nintendo of Europe GmbH","Nintendo Co., Ltd.",0.0,1.0,"Metroidvania, Puzzle elements"
Maniac Mansion: Day of the Tentacle,1993,Adventure,Side view,DOS,8.5,93% (37),"LucasArts Entertainment Company LLC, Erbe Software, S.A., Softgold Computerspiele GmbH",LucasArts Entertainment Company LLC,0.0,1.0,2D scrolling
Uncharted 4: A Thief's End,2016,Action,Behind view,PlayStation 4,9.1,93% (33),"Naughty Dog, Inc.","Naughty Dog, Inc.",0.0,1.0,"Puzzle elements, Shooter, Stealth"
Super Metroid,1994,Action,Side view,SNES,8.7,93% (51),"Nintendo of Europe GmbH, Nintendo Co., Ltd., Nintendo of America Inc., Playtronic Industrial Ltda.",Nintendo of Europe GmbH,0.0,1.0,2D scrolling
Call of Duty 4: Modern Warfare,2007,Action,1st-person,Windows,8.7,93% (178),"Activision Publishing, Inc., Noviy Disk, Aspyr Media, Inc., ak tronic Software & Services GmbH","Activision Publishing, Inc.",0.0,1.0,Shooter
God of War,2005,Action,3rd-person (Other),PlayStation 2,8.7,93% (105),"Sony Computer Entertainment America Inc., Sony Computer Entertainment Europe Ltd., Capcom Co., Ltd., Sony Computer Entertainment Inc.",Sony Computer Entertainment America Inc.,0.0,1.0,Cinematic camera
Red Moon,1985,Adventure,Text-based / Spreadsheet,Atari 8-bit,8.5,93% (8),"Level 9 Computing, Ltd., Rainbird Software","Level 9 Computing, Ltd.",0.0,1.0,Fixed / flip-screen
Grand Theft Auto: San Andreas,2004,Racing / Driving,Behind view,PlayStation 2,8.3,93% (137),"Rockstar Games, Inc., Capcom Co., Ltd., ak tronic Software & Services GmbH, 1C Company","Rockstar Games, Inc.",0.0,1.0,"Quick Time Events (QTEs), Shooter"
Radiant Silvergun,1998,Action,Top-down,Arcade,8.6,93% (25),"SEGA Enterprises Ltd., Entertainment Software Publishing Inc., Microsoft Corporation, Live Wire Inc.",SEGA Enterprises Ltd.,0.0,1.0,2D scrolling
Worms: The Director's Cut,1997,Strategy,Side view,Amiga,8.2,93% (7),Team17 Software Limited,Team17 Software Limited,0.0,1.0,2D scrolling
Monkey Island 2: LeChuck's Revenge,1991,Adventure,3rd-person (Other),DOS,8.2,93% (35),"U.S. Gold Ltd., Lucasfilm Games LLC, Softgold Computerspiele GmbH, Victor Entertainment Inc.",U.S. Gold Ltd.,0.0,1.0,2D scrolling
The Elder Scrolls IV: Oblivion,2006,Role-playing (RPG),1st-person,Windows,8.5,93% (171),"Bethesda Softworks LLC, 2K Games, Inc., 1C Company",Bethesda Softworks LLC,0.0,1.0,"Action RPG, Sandbox / open world"
Tetris,1989,Action,Side view,Game Boy,8.4,93% (25),"Nintendo Co., Ltd., Nintendo of America Inc., Playtronic Industrial Ltda., Nintendo of Europe GmbH","Nintendo Co., Ltd.",0.0,1.0,Fixed / flip-screen
Super Smash Bros. Ultimate,2018,Action,Side view,Nintendo Switch,8.8,93% (29),"Sora Ltd., BANDAI NAMCO Studios Inc.",Sora Ltd.,0.0,1.0,2D scrolling
Super Mario 3D World,2013,Action,3rd-person (Other),Wii U,9.0,93% (54),Nintendo EAD,Nintendo EAD,0.0,1.0,Platform
Knight Lore,1984,Action,Diagonal-down,ZX Spectrum,8.1,93% (14),"Ultimate Play the Game, Nippon Dexter Co., Ltd., Aackosoft International B.V.",Ultimate Play the Game,0.0,1.0,"Fixed / flip-screen, Isometric"
Project Gotham Racing 2,2003,Racing / Driving,1st-person,Xbox,8.8,93% (65),"Bizarre Creations, Ltd.","Bizarre Creations, Ltd.",0.0,1.0,Direct control
God of War II,2007,Action,Behind view,PlayStation 2,8.9,93% (104),"Sony Computer Entertainment Europe Ltd., Sony Computer Entertainment America Inc., ak tronic Software & Services GmbH, Sony Computer Entertainment Japan",Sony Computer Entertainment Europe Ltd.,0.0,1.0,"Hack and slash, Puzzle elements, Quick Time Events (QTEs)"
LittleBigPlanet,2008,Action,Side view,PlayStation 3,8.9,93% (87),Media Molecule Ltd.,Media Molecule Ltd.,0.0,1.0,2D scrolling
Virtual Reality Studio,1991,1st-person,,DOS,8.3,93% (12),Domark Software Ltd.,Domark Software Ltd.,0.0,1.0,
Gears of War 2,2008,Action,Behind view,Xbox 360,8.9,93% (105),Microsoft Corporation,Microsoft Corporation,0.0,1.0,Shooter
The Legend of Zelda: Link's Awakening DX,1998,Action,Side view,Game Boy Color,8.5,93% (23),"Nintendo of America Inc., Nintendo Co., Ltd., Nintendo of Europe GmbH",Nintendo of America Inc.,0.0,1.0,2D scrolling
Metal Gear Solid V: The Phantom Pain,2015,Action,1st-person,Windows,8.4,93% (42),"Konami Digital Entertainment Co., Ltd., Konami Digital Entertainment B.V., Konami Digital Entertainment, Inc., ak tronic Software & Services GmbH","Konami Digital Entertainment Co., Ltd.",0.0,1.0,"Sandbox / open world, Shooter, Stealth"
Chrono Trigger,1995,Role-playing (RPG),Top-down,SNES,8.4,93% (101),"Square Co., Ltd., Square Soft, Inc., Square Enix Co., Ltd.","Square Co., Ltd.",0.0,1.0,Anime / Manga
Anstoss,1994,Compilation,Managerial / business simulation,DOS,8.2,93% (5),"Ascon GmbH, Kalypso Media Digital Ltd.",Ascon GmbH,0.0,1.0,Football (European) / Soccer
The Legend of Zelda: Majora's Mask 3D,2015,Action,Behind view,Nintendo 3DS,8.5,93% (10),"Grezzo Co., Ltd.","Grezzo Co., Ltd.",0.0,1.0,Anime / Manga
Final Fantasy VII,1997,Role-playing (RPG),3rd-person (Other),PlayStation,8.4,93% (105),"Sony Computer Entertainment Europe Ltd., Square Co., Ltd., Sony Computer Entertainment America Inc.",Sony Computer Entertainment Europe Ltd.,0.0,1.0,Cinematic camera
Batman: Arkham City,2011,Action,Behind view,Windows,8.9,93% (51),"Warner Bros. Interactive Entertainment Inc., ak tronic Software & Services GmbH",Warner Bros. Interactive Entertainment Inc.,0.0,1.0,"Beat 'em up / brawler, Metroidvania, Stealth"
Street Fighter II Turbo,1992,Action,Side view,Arcade,8.5,92% (22),"Capcom Co., Ltd., Capcom U.S.A., Inc., Playtronic Industrial Ltda.","Capcom Co., Ltd.",0.0,1.0,2D scrolling
Grand Theft Auto III,2001,Action,Behind view,PlayStation 2,8.0,92% (100),"Rockstar Games, Inc., Buka Entertainment, Capcom Co., Ltd.","Rockstar Games, Inc.",0.0,1.0,"Sandbox / open world, Shooter"
Panzer Dragoon Saga,1998,Role-playing (RPG),Behind view,SEGA Saturn,8.4,92% (20),Team Andromeda,Team Andromeda,0.0,1.0,Real-time
Shadow of the Colossus,2018,Action,Platform,PlayStation 4,8.8,92% (23),"Bluepoint Games, Inc., Sony Interactive Entertainment Japan Studio","Bluepoint Games, Inc.",0.0,1.0,Direct control
Journey,2012,Action,Behind view,PlayStation 3,8.9,92% (99),"Sony Computer Entertainment America LLC, Sony Computer Entertainment Europe Ltd., Sony Interactive Entertainment Inc.",Sony Computer Entertainment America LLC,0.0,1.0,Meditative / Zen
Star Wars: Knights of the Old Republic,2003,Role-playing (RPG),3rd-person (Other),Xbox,8.5,92% (121),"LucasArts, Aspyr Media, Inc., Disney Interactive",LucasArts,0.0,1.0,Real-time
Bloodborne,2015,Role-playing (RPG),Behind view,PlayStation 4,8.6,92% (15),"Sony Computer Entertainment America LLC, Sony Interactive Entertainment Inc.",Sony Computer Entertainment America LLC,0.0,1.0,"Action RPG, Hack and slash"
Metal Slug 1st Mission,1999,Action,Side view,Neo Geo Pocket Color,8.2,92% (8),"Ukiyotei Company, Ltd.","Ukiyotei Company, Ltd.",0.0,1.0,2D scrolling
Demon's Souls,2020,Role-playing (RPG),Behind view,PlayStation 5,8.6,92% (19),"Bluepoint Games, Inc., Sony Interactive Entertainment Japan Studio","Bluepoint Games, Inc.",0.0,1.0,"Action RPG, Hack and slash"
The Legend of Zelda: The Wind Waker,2002,Action,1st-person,GameCube,8.7,92% (104),"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH","Nintendo Co., Ltd.",0.0,1.0,Free-roaming camera
Fallout 3: Game of the Year Edition,2009,Compilation,,Windows,8.1,92% (6),"Bethesda Softworks LLC, ZeniMax Europe Ltd., 1C-SoftClub",Bethesda Softworks LLC,0.0,1.0,
Resident Evil 2,2019,Action,Behind view,Windows,8.9,92% (33),"Capcom Co., Ltd., Capcom U.S.A., Inc.","Capcom Co., Ltd.",0.0,1.0,"Puzzle elements, Shooter, Survival horror"
Halo 3,2007,Action,1st-person,Xbox 360,8.8,92% (138),Bungie Studios,Bungie Studios,0.0,1.0,Shooter
Guitar Hero II,2006,Action,3rd-person (Other),PlayStation 2,8.8,92% (96),"Activision Publishing, Inc., RedOctane, Inc.","Activision Publishing, Inc.",0.0,1.0,Cinematic camera
Grand Theft Auto V,2013,Action,1st-person,PlayStation 3,8.6,92% (59),"Rockstar Games, Inc.","Rockstar Games, Inc.",0.0,1.0,"Sandbox / open world, Shooter"
Batman: Arkham Asylum,2009,Action,Behind view,Windows,8.8,92% (96),"Eidos Interactive Limited, Square Enix Co., Ltd., Feral Interactive Ltd.",Eidos Interactive Limited,0.0,1.0,"Metroidvania, Stealth"
Gran Turismo 3: A-spec,2001,Racing / Driving,1st-person,PlayStation 2,8.3,92% (44),Polyphony Digital Inc.,Polyphony Digital Inc.,0.0,1.0,Direct control
Mario Kart 8 Deluxe,2017,Racing / Driving,Behind view,Nintendo Switch,8.8,92% (31),Nintendo EAD,Nintendo EAD,0.0,1.0,Arcade
Cave Story,2012,Action,Side view,Nintendo 3DS,8.1,92% (5),"Nicalis, Inc., Studio Pixel","Nicalis, Inc.",0.0,1.0,2D scrolling
DragonStomper,1982,Role-playing (RPG),Top-down,Atari 2600,7.7,92% (5),Starpath Corporation,Starpath Corporation,0.0,1.0,Turn-based
Escape from the Mindmaster,1982,Puzzle,1st-person,Atari 2600,7.5,92% (5),"Starpath Corporation, Epyx, Inc.",Starpath Corporation,0.0,1.0,
iBlast Moki 2,2011,Puzzle,Side view,iPhone,8.5,92% (10),Godzilab Inc,Godzilab Inc,0.0,1.0,2D scrolling
God of War III,2010,Action,Behind view,PlayStation 3,8.8,92% (50),"Sony Computer Entertainment Europe Ltd., Sony Computer Entertainment America Inc., Sony Interactive Entertainment Inc.",Sony Computer Entertainment Europe Ltd.,0.0,1.0,"Hack and slash, Puzzle elements, Quick Time Events (QTEs)"
The Elder Scrolls V: Skyrim,2011,Role-playing (RPG),1st-person,Windows,8.3,92% (71),"1C-SoftClub, Bethesda Softworks LLC, ak tronic Software & Services GmbH",1C-SoftClub,0.0,1.0,"Action RPG, Sandbox / open world"
Ōkami,2006,Action,Behind view,PlayStation 2,9.0,92% (147),"Capcom Co., Ltd., Capcom Entertainment, Inc., CE Europe Ltd., Capcom U.S.A., Inc.","Capcom Co., Ltd.",0.0,1.0,"Metroidvania, Puzzle elements"
The Last of Us,2013,Action,Behind view,PlayStation 3,8.8,92% (56),"Sony Computer Entertainment America LLC, Sony Computer Entertainment Europe Ltd., Sony Computer Entertainment Inc.",Sony Computer Entertainment America LLC,0.0,1.0,"Quick Time Events (QTEs), Shooter, Stealth, Survival horror"
Thief: Gold,1999,Action,1st-person,Windows,8.6,92% (10),"Looking Glass Studios, Inc.","Looking Glass Studios, Inc.",0.0,1.0,Stealth
The Witcher 3: Wild Hunt - Blood and Wine,2016,DLC / Add-on,Item,Windows,8.8,92% (12),CD Projekt S.A.,CD Projekt S.A.,0.0,1.0,
Divinity: Original Sin II,2016,Role-playing (RPG),Diagonal-down,Windows,8.8,92% (32),"Larian Studios NV, BANDAI NAMCO Entertainment Europe S.A.S., Spike Chunsoft Co., Ltd.",Larian Studios NV,0.0,1.0,Turn-based
Metal Gear Solid 3: Subsistence,2005,Action,1st-person,PlayStation 2,8.8,92% (68),"Konami Corporation, Konami Digital Entertainment, Inc., Konami Digital Entertainment Co., Ltd.",Konami Corporation,0.0,1.0,"Shooter, Stealth"
Astro Bot: Rescue Mission,2018,Action,3rd-person (Other),PlayStation 4,8.7,92% (14),ASOBI Team,ASOBI Team,0.0,1.0,Cinematic camera
Advance Wars,2001,Strategy,Diagonal-down,Game Boy Advance,8.5,92% (55),"Nintendo of America Inc., Nintendo of Europe GmbH",Nintendo of America Inc.,0.0,1.0,Turn-based
Grim Fandango,1998,Adventure,3rd-person (Other),Windows,8.5,92% (55),LucasArts Entertainment Company LLC,LucasArts Entertainment Company LLC,0.0,1.0,Cinematic camera
Alto's Adventure,2015,Action,Side view,iPhone,7.8,92% (5),"Snowman, Noodlecake Studios Inc., Looks Like Lemonade Ltd.",Snowman,0.0,1.0,2D scrolling
Galactic Civilizations II: Twilight of the Arnor,2008,DLC / Add-on,Other,Windows,8.5,92% (17),,,0.0,1.0,
Real Racing,2009,Racing / Driving,1st-person,iPhone,8.4,92% (10),ndWare Pty Ltd,ndWare Pty Ltd,0.0,1.0,Direct control
Sensible World of Soccer '95/'96,1995,Sports,Top-down,Amiga,8.3,92% (6),Sensible Software,Sensible Software,0.0,1.0,2D scrolling
Star Wars: DroidWorks,1998,Action,Behind view,Windows,7.6,92% (5),Lucas Learning Ltd.,Lucas Learning Ltd.,0.0,1.0,Puzzle elements
TAGAP 2: The Apocalyptic Game About Penguins 2,2011,Action,Side view,Windows,8.1,92% (5),Penguin Development Team,Penguin Development Team,0.0,1.0,2D scrolling
The Executive,2015,Action,Side view,iPhone,8.1,92% (5),"Riverman Media LLC, Noodlecake Studios Inc.",Riverman Media LLC,0.0,1.0,Fixed / flip-screen
Super Smash Bros. Brawl,2008,Action,Side view,Wii,8.9,92% (131),"Sora Ltd., Game Arts Co., Ltd.",Sora Ltd.,0.0,1.0,Fighting
The Legend of Zelda: Oracle of Ages,2001,Action,Top-down,Game Boy Color,8.4,92% (31),"Nintendo Co., Ltd., Nintendo of Europe GmbH, Nintendo of America Inc.","Nintendo Co., Ltd.",0.0,1.0,2D scrolling
Valheim,2021,Action,Behind view,Windows,8.0,92% (5),Coffee Stain Publishing AB,Coffee Stain Publishing AB,0.0,1.0,City building / construction simulation
Cave Story,2005,Action,Side view,Windows,8.1,92% (15),"Studio Pixel, Nicalis, Inc., Asterizm Corporation",Studio Pixel,0.0,1.0,2D scrolling
Panzer Dragoon II: Zwei,1996,Action,Diagonal-down,SEGA Saturn,8.5,92% (22),Team Andromeda,Team Andromeda,0.0,1.0,"Arcade, Rail shooter"
